municipio,estado
VERA MENDES,Piauí
VILA NOVA DO PIAUÍ,Piauí
WALL FERRAZ,Piauí
ABAIARA,Ceará
ACARAPE,Ceará
ACARAÚ,Ceará
ACOPIARA,Ceará
AIUABA,Ceará
ALCÂNTARAS,Ceará
ALTANEIRA,Ceará
ALTO SANTO,Ceará
AMONTADA,Ceará
ANTONINA DO NORTE,Ceará
APUIARÉS,Ceará
AQUIRAZ,Ceará
ARACATI,Ceará
ARACOIABA,Ceará
ARARENDÁ,Ceará
ARARIPE,Ceará
ARATUBA,Ceará
ARNEIROZ,Ceará
ASSARÉ,Ceará
AURORA,Ceará
BAIXIO,Ceará
BANABUIÚ,Ceará
BARBALHA,Ceará
BARREIRA,Ceará
BARRO,Ceará
BARROQUINHA,Ceará
BATURITÉ,Ceará
BEBERIBE,Ceará
BELA CRUZ,Ceará
BOA VIAGEM,Ceará
BREJO SANTO,Ceará
CAMOCIM,Ceará
CAMPOS SALES,Ceará
CANINDÉ,Ceará
CAPISTRANO,Ceará
CARIDADE,Ceará
CARIRÉ,Ceará
CARIRIAÇU,Ceará
CARIÚS,Ceará
CARNAUBAL,Ceará
CASCAVEL,Ceará
CATARINA,Ceará
CATUNDA,Ceará
CAUCAIA,Ceará
CEDRO,Ceará
CHAVAL,Ceará
CHORÓ,Ceará
CHOROZINHO,Ceará
COREAÚ,Ceará
CRATEÚS,Ceará
CRATO,Ceará
CROATÁ,Ceará
CRUZ,Ceará
DEPUTADO IRAPUAN PINHEIRO,Ceará
ERERÉ,Ceará
EUSÉBIO,Ceará
FARIAS BRITO,Ceará
FORQUILHA,Ceará
FORTALEZA,Ceará
FORTIM,Ceará
FRECHEIRINHA,Ceará
GENERAL SAMPAIO,Ceará
GRAÇA,Ceará
GRANJA,Ceará
GRANJEIRO,Ceará
GROAÍRAS,Ceará
GUAIÚBA,Ceará
GUARACIABA DO NORTE,Ceará
GUARAMIRANGA,Ceará
HIDROLÂNDIA,Ceará
HORIZONTE,Ceará
IBARETAMA,Ceará
IBIAPINA,Ceará
IBICUITINGA,Ceará
ICAPUÍ,Ceará
ICÓ,Ceará
IGUATU,Ceará
INDEPENDÊNCIA,Ceará
IPAPORANGA,Ceará
IPAUMIRIM,Ceará
IPU,Ceará
IPUEIRAS,Ceará
IRACEMA,Ceará
IRAUÇUBA,Ceará
ITAIÇABA,Ceará
ITAITINGA,Ceará
ITAPAJÉ,Ceará
ITAPIPOCA,Ceará
ITAPIÚNA,Ceará
ITAREMA,Ceará
ITATIRA,Ceará
JAGUARETAMA,Ceará
JAGUARIBARA,Ceará
JAGUARIBE,Ceará
JAGUARUANA,Ceará
JARDIM,Ceará
JATI,Ceará
JIJOCA DE JERICOACOARA,Ceará
JUAZEIRO DO NORTE,Ceará
JUCÁS,Ceará
LAVRAS DA MANGABEIRA,Ceará
LIMOEIRO DO NORTE,Ceará
MADALENA,Ceará
MARACANAÚ,Ceará
MARANGUAPE,Ceará
MARCO,Ceará
MARTINÓPOLE,Ceará
MASSAPÊ,Ceará
MAURITI,Ceará
MERUOCA,Ceará
MILAGRES,Ceará
MILHÃ,Ceará
MIRAÍMA,Ceará
MISSÃO VELHA,Ceará
MOMBAÇA,Ceará
MONSENHOR TABOSA,Ceará
MORADA NOVA,Ceará
MORAÚJO,Ceará
MORRINHOS,Ceará
MUCAMBO,Ceará
MULUNGU,Ceará
NOVA OLINDA,Ceará
NOVA RUSSAS,Ceará
NOVO ORIENTE,Ceará
OCARA,Ceará
ORÓS,Ceará
PACAJUS,Ceará
PACATUBA,Ceará
PACOTI,Ceará
PACUJÁ,Ceará
PALHANO,Ceará
PALMÁCIA,Ceará
PARACURU,Ceará
PARAIPABA,Ceará
PARAMBU,Ceará
PARAMOTI,Ceará
PEDRA BRANCA,Ceará
PENAFORTE,Ceará
PENTECOSTE,Ceará
PEREIRO,Ceará
PINDORETAMA,Ceará
PIQUET CARNEIRO,Ceará
PIRES FERREIRA,Ceará
PORANGA,Ceará
PORTEIRAS,Ceará
POTENGI,Ceará
POTIRETAMA,Ceará
QUITERIANÓPOLIS,Ceará
QUIXADÁ,Ceará
QUIXELÔ,Ceará
QUIXERAMOBIM,Ceará
QUIXERÉ,Ceará
REDENÇÃO,Ceará
RERIUTABA,Ceará
RUSSAS,Ceará
SABOEIRO,Ceará
SALITRE,Ceará
SANTANA DO ACARAÚ,Ceará
SANTANA DO CARIRI,Ceará
SANTA QUITÉRIA,Ceará
SÃO BENEDITO,Ceará
SÃO GONÇALO DO AMARANTE,Ceará
SÃO JOÃO DO JAGUARIBE,Ceará
SÃO LUÍS DO CURU,Ceará
SENADOR POMPEU,Ceará
SENADOR SÁ,Ceará
SOBRAL,Ceará
SOLONÓPOLE,Ceará
TABULEIRO DO NORTE,Ceará
TAMBORIL,Ceará
TARRAFAS,Ceará
TAUÁ,Ceará
TEJUÇUOCA,Ceará
TIANGUÁ,Ceará
TRAIRI,Ceará
TURURU,Ceará
UBAJARA,Ceará
UMARI,Ceará
UMIRIM,Ceará
URUBURETAMA,Ceará
URUOCA,Ceará
VARJOTA,Ceará
VÁRZEA ALEGRE,Ceará
VIÇOSA DO CEARÁ,Ceará
ACARI,Rio Grande
AÇU,Rio Grande
AFONSO BEZERRA,Rio Grande
ÁGUA NOVA,Rio Grande
ALEXANDRIA,Rio Grande
ALMINO AFONSO,Rio Grande
ALTO DO RODRIGUES,Rio Grande
ANGICOS,Rio Grande
ANTÔNIO MARTINS,Rio Grande
APODI,Rio Grande
AREIA BRANCA,Rio Grande
ARÊS,Rio Grande
CAMPO GRANDE,Rio Grande
BAÍA FORMOSA,Rio Grande
BARAÚNA,Rio Grande
BARCELONA,Rio Grande
BENTO FERNANDES,Rio Grande
BODÓ,Rio Grande
BOM JESUS,Rio Grande
BREJINHO,Rio Grande
CAIÇARA DO NORTE,Rio Grande
CAIÇARA DO RIO DO VENTO,Rio Grande
CAICÓ,Rio Grande
CAMPO REDONDO,Rio Grande
CANGUARETAMA,Rio Grande
CARAÚBAS,Rio Grande
CARNAÚBA DOS DANTAS,Rio Grande
CARNAUBAIS,Rio Grande
CEARÁ-MIRIM,Rio Grande
CERRO CORÁ,Rio Grande
CORONEL EZEQUIEL,Rio Grande
CORONEL JOÃO PESSOA,Rio Grande
CRUZETA,Rio Grande
CURRAIS NOVOS,Rio Grande
DOUTOR SEVERIANO,Rio Grande
PARNAMIRIM,Rio Grande
ENCANTO,Rio Grande
EQUADOR,Rio Grande
ESPÍRITO SANTO,Rio Grande
EXTREMOZ,Rio Grande
FELIPE GUERRA,Rio Grande
FERNANDO PEDROZA,Rio Grande
FLORÂNIA,Rio Grande
FRANCISCO DANTAS,Rio Grande
FRUTUOSO GOMES,Rio Grande
GALINHOS,Rio Grande
GOIANINHA,Rio Grande
GOVERNADOR DIX-SEPT ROSADO,Rio Grande
GROSSOS,Rio Grande
GUAMARÉ,Rio Grande
IELMO MARINHO,Rio Grande
IPANGUAÇU,Rio Grande
IPUEIRA,Rio Grande
ITAJÁ,Rio Grande
ITAÚ,Rio Grande
JAÇANÃ,Rio Grande
JANDAÍRA,Rio Grande
JANDUÍS,Rio Grande
JANUÁRIO CICCO,Rio Grande
JAPI,Rio Grande
JARDIM DE ANGICOS,Rio Grande
JARDIM DE PIRANHAS,Rio Grande
JARDIM DO SERIDÓ,Rio Grande
JOÃO CÂMARA,Rio Grande
JOÃO DIAS,Rio Grande
JOSÉ DA PENHA,Rio Grande
JUCURUTU,Rio Grande
JUNDIÁ,Rio Grande
LAGOA D'ANTA,Rio Grande
LAGOA DE PEDRAS,Rio Grande
LAGOA DE VELHOS,Rio Grande
LAGOA NOVA,Rio Grande
LAGOA SALGADA,Rio Grande
LAJES,Rio Grande
LAJES PINTADAS,Rio Grande
LUCRÉCIA,Rio Grande
LUÍS GOMES,Rio Grande
MACAÍBA,Rio Grande
MACAU,Rio Grande
MAJOR SALES,Rio Grande
MARCELINO VIEIRA,Rio Grande
MARTINS,Rio Grande
MAXARANGUAPE,Rio Grande
MESSIAS TARGINO,Rio Grande
MONTANHAS,Rio Grande
MONTE ALEGRE,Rio Grande
MONTE DAS GAMELEIRAS,Rio Grande
MOSSORÓ,Rio Grande
NATAL,Rio Grande
NÍSIA FLORESTA,Rio Grande
NOVA CRUZ,Rio Grande
OLHO D'ÁGUA DO BORGES,Rio Grande
OURO BRANCO,Rio Grande
PARANÁ,Rio Grande
PARAÚ,Rio Grande
PARAZINHO,Rio Grande
PARELHAS,Rio Grande
RIO DO FOGO,Rio Grande
PASSA E FICA,Rio Grande
PASSAGEM,Rio Grande
PATU,Rio Grande
SANTA MARIA,Rio Grande
PAU DOS FERROS,Rio Grande
PEDRA GRANDE,Rio Grande
PEDRA PRETA,Rio Grande
PEDRO AVELINO,Rio Grande
PEDRO VELHO,Rio Grande
PENDÊNCIAS,Rio Grande
PILÕES,Rio Grande
POÇO BRANCO,Rio Grande
PORTALEGRE,Rio Grande
PORTO DO MANGUE,Rio Grande
SERRA CAIADA,Rio Grande
PUREZA,Rio Grande
RAFAEL FERNANDES,Rio Grande
RAFAEL GODEIRO,Rio Grande
RIACHO DA CRUZ,Rio Grande
RIACHO DE SANTANA,Rio Grande
RIACHUELO,Rio Grande
RODOLFO FERNANDES,Rio Grande
TIBAU,Rio Grande
RUY BARBOSA,Rio Grande
SANTA CRUZ,Rio Grande
SANTANA DO MATOS,Rio Grande
SANTANA DO SERIDÓ,Rio Grande
SANTO ANTÔNIO,Rio Grande
SÃO BENTO DO NORTE,Rio Grande
SÃO BENTO DO TRAIRÍ,Rio Grande
SÃO FERNANDO,Rio Grande
SÃO FRANCISCO DO OESTE,Rio Grande
SÃO GONÇALO DO AMARANTE,Rio Grande
SÃO JOÃO DO SABUGI,Rio Grande
SÃO JOSÉ DE MIPIBU,Rio Grande
SÃO JOSÉ DO CAMPESTRE,Rio Grande
SÃO JOSÉ DO SERIDÓ,Rio Grande
SÃO MIGUEL,Rio Grande
SÃO MIGUEL DO GOSTOSO,Rio Grande
SÃO PAULO DO POTENGI,Rio Grande
SÃO PEDRO,Rio Grande
SÃO RAFAEL,Rio Grande
SÃO TOMÉ,Rio Grande
SÃO VICENTE,Rio Grande
SENADOR ELÓI DE SOUZA,Rio Grande
SENADOR GEORGINO AVELINO,Rio Grande
SERRA DE SÃO BENTO,Rio Grande
SERRA DO MEL,Rio Grande
SERRA NEGRA DO NORTE,Rio Grande
SERRINHA,Rio Grande
SERRINHA DOS PINTOS,Rio Grande
SEVERIANO MELO,Rio Grande
SÍTIO NOVO,Rio Grande
TABOLEIRO GRANDE,Rio Grande
TAIPU,Rio Grande
TANGARÁ,Rio Grande
TENENTE ANANIAS,Rio Grande
TENENTE LAURENTINO CRUZ,Rio Grande
TIBAU DO SUL,Rio Grande
TIMBAÚBA DOS BATISTAS,Rio Grande
TOUROS,Rio Grande
TRIUNFO POTIGUAR,Rio Grande
UMARIZAL,Rio Grande
UPANEMA,Rio Grande
VÁRZEA,Rio Grande
VENHA-VER,Rio Grande
VERA CRUZ,Rio Grande
VIÇOSA,Rio Grande
VILA FLOR,Rio Grande
ÁGUA BRANCA,Paraíba
AGUIAR,Paraíba
ALAGOA GRANDE,Paraíba
ALAGOA NOVA,Paraíba
ALAGOINHA,Paraíba
ALCANTIL,Paraíba
ALGODÃO DE JANDAÍRA,Paraíba
ALHANDRA,Paraíba
SÃO JOÃO DO RIO DO PEIXE,Paraíba
AMPARO,Paraíba
APARECIDA,Paraíba
ARAÇAGI,Paraíba
ARARA,Paraíba
ARARUNA,Paraíba
AREIA,Paraíba
AREIA DE BARAÚNAS,Paraíba
AREIAL,Paraíba
AROEIRAS,Paraíba
ASSUNÇÃO,Paraíba
BAÍA DA TRAIÇÃO,Paraíba
BANANEIRAS,Paraíba
BARAÚNA,Paraíba
BARRA DE SANTANA,Paraíba
BARRA DE SANTA ROSA,Paraíba
BARRA DE SÃO MIGUEL,Paraíba
BAYEUX,Paraíba
BELÉM,Paraíba
BELÉM DO BREJO DO CRUZ,Paraíba
BERNARDINO BATISTA,Paraíba
BOA VENTURA,Paraíba
BOA VISTA,Paraíba
BOM JESUS,Paraíba
BOM SUCESSO,Paraíba
BONITO DE SANTA FÉ,Paraíba
BOQUEIRÃO,Paraíba
IGARACY,Paraíba
BORBOREMA,Paraíba
BREJO DO CRUZ,Paraíba
BREJO DOS SANTOS,Paraíba
CAAPORÃ,Paraíba
CABACEIRAS,Paraíba
CABEDELO,Paraíba
CACHOEIRA DOS ÍNDIOS,Paraíba
CACIMBA DE AREIA,Paraíba
CACIMBA DE DENTRO,Paraíba
CACIMBAS,Paraíba
CAIÇARA,Paraíba
CAJAZEIRAS,Paraíba
CAJAZEIRINHAS,Paraíba
CALDAS BRANDÃO,Paraíba
CAMALAÚ,Paraíba
CAMPINA GRANDE,Paraíba
CAPIM,Paraíba
CARAÚBAS,Paraíba
CARRAPATEIRA,Paraíba
CASSERENGUE,Paraíba
CATINGUEIRA,Paraíba
CATOLÉ DO ROCHA,Paraíba
CATURITÉ,Paraíba
CONCEIÇÃO,Paraíba
CONDADO,Paraíba
CONDE,Paraíba
CONGO,Paraíba
COREMAS,Paraíba
COXIXOLA,Paraíba
CRUZ DO ESPÍRITO SANTO,Paraíba
CUBATI,Paraíba
CUITÉ,Paraíba
CUITEGI,Paraíba
CUITÉ DE MAMANGUAPE,Paraíba
CURRAL DE CIMA,Paraíba
CURRAL VELHO,Paraíba
DAMIÃO,Paraíba
DESTERRO,Paraíba
VISTA SERRANA,Paraíba
DIAMANTE,Paraíba
DONA INÊS,Paraíba
DUAS ESTRADAS,Paraíba
EMAS,Paraíba
ESPERANÇA,Paraíba
FAGUNDES,Paraíba
FREI MARTINHO,Paraíba
GADO BRAVO,Paraíba
GUARABIRA,Paraíba
GURINHÉM,Paraíba
GURJÃO,Paraíba
IBIARA,Paraíba
IMACULADA,Paraíba
INGÁ,Paraíba
ITABAIANA,Paraíba
ITAPORANGA,Paraíba
ITAPOROROCA,Paraíba
ITATUBA,Paraíba
JACARAÚ,Paraíba
JERICÓ,Paraíba
JOÃO PESSOA,Paraíba
JUAREZ TÁVORA,Paraíba
JUAZEIRINHO,Paraíba
JUNCO DO SERIDÓ,Paraíba
JURIPIRANGA,Paraíba
JURU,Paraíba
LAGOA,Paraíba
LAGOA DE DENTRO,Paraíba
LAGOA SECA,Paraíba
LASTRO,Paraíba
LIVRAMENTO,Paraíba
LOGRADOURO,Paraíba
LUCENA,Paraíba
MÃE D'ÁGUA,Paraíba
MALTA,Paraíba
MAMANGUAPE,Paraíba
MANAÍRA,Paraíba
MARCAÇÃO,Paraíba
MARI,Paraíba
MARIZÓPOLIS,Paraíba
MASSARANDUBA,Paraíba
MATARACA,Paraíba
MATINHAS,Paraíba
MATO GROSSO,Paraíba
MATURÉIA,Paraíba
MOGEIRO,Paraíba
MONTADAS,Paraíba
MONTE HOREBE,Paraíba
MONTEIRO,Paraíba
MULUNGU,Paraíba
NATUBA,Paraíba
NAZAREZINHO,Paraíba
NOVA FLORESTA,Paraíba
NOVA OLINDA,Paraíba
NOVA PALMEIRA,Paraíba
OLHO D'ÁGUA,Paraíba
OLIVEDOS,Paraíba
OURO VELHO,Paraíba
PARARI,Paraíba
PASSAGEM,Paraíba
PATOS,Paraíba
PAULISTA,Paraíba
PEDRA BRANCA,Paraíba
PEDRA LAVRADA,Paraíba
PEDRAS DE FOGO,Paraíba
PIANCÓ,Paraíba
PICUÍ,Paraíba
PILAR,Paraíba
PILÕES,Paraíba
PILÕEZINHOS,Paraíba
PIRPIRITUBA,Paraíba
PITIMBU,Paraíba
POCINHOS,Paraíba
POÇO DANTAS,Paraíba
POÇO DE JOSÉ DE MOURA,Paraíba
POMBAL,Paraíba
PRATA,Paraíba
PRINCESA ISABEL,Paraíba
PUXINANÃ,Paraíba
QUEIMADAS,Paraíba
QUIXABA,Paraíba
REMÍGIO,Paraíba
PEDRO RÉGIS,Paraíba
RIACHÃO,Paraíba
RIACHÃO DO BACAMARTE,Paraíba
RIACHÃO DO POÇO,Paraíba
RIACHO DE SANTO ANTÔNIO,Paraíba
RIACHO DOS CAVALOS,Paraíba
RIO TINTO,Paraíba
SALGADINHO,Paraíba
SALGADO DE SÃO FÉLIX,Paraíba
SANTA CECÍLIA,Paraíba
SANTA CRUZ,Paraíba
SANTA HELENA,Paraíba
SANTA INÊS,Paraíba
SANTA LUZIA,Paraíba
SANTANA DE MANGUEIRA,Paraíba
SANTANA DOS GARROTES,Paraíba
JOCA CLAUDINO,Paraíba
SANTA RITA,Paraíba
SANTA TERESINHA,Paraíba
SANTO ANDRÉ,Paraíba
SÃO BENTO,Paraíba
SÃO BENTINHO,Paraíba
SÃO DOMINGOS DO CARIRI,Paraíba
SÃO DOMINGOS,Paraíba
SÃO FRANCISCO,Paraíba
SÃO JOÃO DO CARIRI,Paraíba
SÃO JOÃO DO TIGRE,Paraíba
SÃO JOSÉ DA LAGOA TAPADA,Paraíba
SÃO JOSÉ DE CAIANA,Paraíba
SÃO JOSÉ DE ESPINHARAS,Paraíba
SÃO JOSÉ DOS RAMOS,Paraíba
SÃO JOSÉ DE PIRANHAS,Paraíba
SÃO JOSÉ DE PRINCESA,Paraíba
SÃO JOSÉ DO BONFIM,Paraíba
SÃO JOSÉ DO BREJO DO CRUZ,Paraíba
SÃO JOSÉ DO SABUGI,Paraíba
SÃO JOSÉ DOS CORDEIROS,Paraíba
SÃO MAMEDE,Paraíba
SÃO MIGUEL DE TAIPU,Paraíba
SÃO SEBASTIÃO DE LAGOA DE ROÇA,Paraíba
SÃO SEBASTIÃO DO UMBUZEIRO,Paraíba
SAPÉ,Paraíba
SÃO VICENTE DO SERIDÓ,Paraíba
SERRA BRANCA,Paraíba
SERRA DA RAIZ,Paraíba
SERRA GRANDE,Paraíba
SERRA REDONDA,Paraíba
SERRARIA,Paraíba
SERTÃOZINHO,Paraíba
SOBRADO,Paraíba
SOLÂNEA,Paraíba
SOLEDADE,Paraíba
SOSSÊGO,Paraíba
SOUSA,Paraíba
SUMÉ,Paraíba
TACIMA,Paraíba
TAPEROÁ,Paraíba
TAVARES,Paraíba
TEIXEIRA,Paraíba
TENÓRIO,Paraíba
TRIUNFO,Paraíba
UIRAÚNA,Paraíba
UMBUZEIRO,Paraíba
VÁRZEA,Paraíba
VIEIRÓPOLIS,Paraíba
ZABELÊ,Paraíba
ABREU E LIMA,Pernambuco
AFOGADOS DA INGAZEIRA,Pernambuco
AFRÂNIO,Pernambuco
AGRESTINA,Pernambuco
ÁGUA PRETA,Pernambuco
ÁGUAS BELAS,Pernambuco
ALAGOINHA,Pernambuco
ALIANÇA,Pernambuco
ALTINHO,Pernambuco
AMARAJI,Pernambuco
ANGELIM,Pernambuco
ARAÇOIABA,Pernambuco
ARARIPINA,Pernambuco
ARCOVERDE,Pernambuco
BARRA DE GUABIRABA,Pernambuco
BARREIROS,Pernambuco
BELÉM DE MARIA,Pernambuco
BELÉM DO SÃO FRANCISCO,Pernambuco
BELO JARDIM,Pernambuco
BETÂNIA,Pernambuco
BEZERROS,Pernambuco
BODOCÓ,Pernambuco
BOM CONSELHO,Pernambuco
BOM JARDIM,Pernambuco
BONITO,Pernambuco
BREJÃO,Pernambuco
BREJINHO,Pernambuco
BREJO DA MADRE DE DEUS,Pernambuco
BUENOS AIRES,Pernambuco
BUÍQUE,Pernambuco
CABO DE SANTO AGOSTINHO,Pernambuco
CABROBÓ,Pernambuco
CACHOEIRINHA,Pernambuco
CAETÉS,Pernambuco
CALÇADO,Pernambuco
CALUMBI,Pernambuco
CAMARAGIBE,Pernambuco
CAMOCIM DE SÃO FÉLIX,Pernambuco
CAMUTANGA,Pernambuco
CANHOTINHO,Pernambuco
CAPOEIRAS,Pernambuco
CARNAÍBA,Pernambuco
CARNAUBEIRA DA PENHA,Pernambuco
CARPINA,Pernambuco
CARUARU,Pernambuco
CASINHAS,Pernambuco
CATENDE,Pernambuco
CEDRO,Pernambuco
CHÃ DE ALEGRIA,Pernambuco
CHÃ GRANDE,Pernambuco
CONDADO,Pernambuco
CORRENTES,Pernambuco
CORTÊS,Pernambuco
CUMARU,Pernambuco
CUPIRA,Pernambuco
CUSTÓDIA,Pernambuco
DORMENTES,Pernambuco
ESCADA,Pernambuco
EXU,Pernambuco
FEIRA NOVA,Pernambuco
FERNANDO DE NORONHA,Pernambuco
FERREIROS,Pernambuco
FLORES,Pernambuco
FLORESTA,Pernambuco
FREI MIGUELINHO,Pernambuco
GAMELEIRA,Pernambuco
GARANHUNS,Pernambuco
GLÓRIA DO GOITÁ,Pernambuco
GOIANA,Pernambuco
GRANITO,Pernambuco
GRAVATÁ,Pernambuco
IATI,Pernambuco
IBIMIRIM,Pernambuco
IBIRAJUBA,Pernambuco
IGARASSU,Pernambuco
IGUARACY,Pernambuco
INAJÁ,Pernambuco
INGAZEIRA,Pernambuco
IPOJUCA,Pernambuco
IPUBI,Pernambuco
ITACURUBA,Pernambuco
ITAÍBA,Pernambuco
ILHA DE ITAMARACÁ,Pernambuco
ITAMBÉ,Pernambuco
ITAPETIM,Pernambuco
ITAPISSUMA,Pernambuco
ITAQUITINGA,Pernambuco
JABOATÃO DOS GUARARAPES,Pernambuco
JAQUEIRA,Pernambuco
JATAÚBA,Pernambuco
JATOBÁ,Pernambuco
JOÃO ALFREDO,Pernambuco
JOAQUIM NABUCO,Pernambuco
JUCATI,Pernambuco
JUPI,Pernambuco
JUREMA,Pernambuco
LAGOA DO CARRO,Pernambuco
LAGOA DE ITAENGA,Pernambuco
LAGOA DO OURO,Pernambuco
LAGOA DOS GATOS,Pernambuco
LAGOA GRANDE,Pernambuco
LAJEDO,Pernambuco
LIMOEIRO,Pernambuco
MACAPARANA,Pernambuco
MACHADOS,Pernambuco
MANARI,Pernambuco
MARAIAL,Pernambuco
MIRANDIBA,Pernambuco
MORENO,Pernambuco
NAZARÉ DA MATA,Pernambuco
OLINDA,Pernambuco
OROBÓ,Pernambuco
OROCÓ,Pernambuco
OURICURI,Pernambuco
PALMARES,Pernambuco
PALMEIRINA,Pernambuco
PANELAS,Pernambuco
PARANATAMA,Pernambuco
PARNAMIRIM,Pernambuco
PASSIRA,Pernambuco
PAUDALHO,Pernambuco
PAULISTA,Pernambuco
PEDRA,Pernambuco
PESQUEIRA,Pernambuco
PETROLÂNDIA,Pernambuco
PETROLINA,Pernambuco
POÇÃO,Pernambuco
POMBOS,Pernambuco
PRIMAVERA,Pernambuco
QUIPAPÁ,Pernambuco
QUIXABA,Pernambuco
RECIFE,Pernambuco
RIACHO DAS ALMAS,Pernambuco
RIBEIRÃO,Pernambuco
RIO FORMOSO,Pernambuco
SAIRÉ,Pernambuco
SALGADINHO,Pernambuco
SALGUEIRO,Pernambuco
SALOÁ,Pernambuco
SANHARÓ,Pernambuco
SANTA CRUZ,Pernambuco
SANTA CRUZ DA BAIXA VERDE,Pernambuco
SANTA CRUZ DO CAPIBARIBE,Pernambuco
SANTA FILOMENA,Pernambuco
SANTA MARIA DA BOA VISTA,Pernambuco
SANTA MARIA DO CAMBUCÁ,Pernambuco
SANTA TEREZINHA,Pernambuco
SÃO BENEDITO DO SUL,Pernambuco
SÃO BENTO DO UNA,Pernambuco
SÃO CAITANO,Pernambuco
SÃO JOÃO,Pernambuco
SÃO JOAQUIM DO MONTE,Pernambuco
SÃO JOSÉ DA COROA GRANDE,Pernambuco
SÃO JOSÉ DO BELMONTE,Pernambuco
SÃO JOSÉ DO EGITO,Pernambuco
SÃO LOURENÇO DA MATA,Pernambuco
SÃO VICENTE FÉRRER,Pernambuco
SERRA TALHADA,Pernambuco
SERRITA,Pernambuco
SERTÂNIA,Pernambuco
SIRINHAÉM,Pernambuco
MOREILÂNDIA,Pernambuco
SOLIDÃO,Pernambuco
SURUBIM,Pernambuco
TABIRA,Pernambuco
TACAIMBÓ,Pernambuco
TACARATU,Pernambuco
TAMANDARÉ,Pernambuco
TAQUARITINGA DO NORTE,Pernambuco
TEREZINHA,Pernambuco
TERRA NOVA,Pernambuco
TIMBAÚBA,Pernambuco
TORITAMA,Pernambuco
TRACUNHAÉM,Pernambuco
TRINDADE,Pernambuco
TRIUNFO,Pernambuco
TUPANATINGA,Pernambuco
TUPARETAMA,Pernambuco
VENTUROSA,Pernambuco
VERDEJANTE,Pernambuco
VERTENTE DO LÉRIO,Pernambuco
VERTENTES,Pernambuco
VICÊNCIA,Pernambuco
VITÓRIA DE SANTO ANTÃO,Pernambuco
XEXÉU,Pernambuco
ÁGUA BRANCA,Alagoas
ANADIA,Alagoas
ARAPIRACA,Alagoas
ATALAIA,Alagoas
BARRA DE SANTO ANTÔNIO,Alagoas
BARRA DE SÃO MIGUEL,Alagoas
BATALHA,Alagoas
BELÉM,Alagoas
BELO MONTE,Alagoas
BOCA DA MATA,Alagoas
BRANQUINHA,Alagoas
CACIMBINHAS,Alagoas
CAJUEIRO,Alagoas
CAMPESTRE,Alagoas
CAMPO ALEGRE,Alagoas
CAMPO GRANDE,Alagoas
CANAPI,Alagoas
CAPELA,Alagoas
CARNEIROS,Alagoas
CHÃ PRETA,Alagoas
COITÉ DO NÓIA,Alagoas
COLÔNIA LEOPOLDINA,Alagoas
COQUEIRO SECO,Alagoas
CORURIPE,Alagoas
CRAÍBAS,Alagoas
DELMIRO GOUVEIA,Alagoas
DOIS RIACHOS,Alagoas
ESTRELA DE ALAGOAS,Alagoas
FEIRA GRANDE,Alagoas
FELIZ DESERTO,Alagoas
FLEXEIRAS,Alagoas
GIRAU DO PONCIANO,Alagoas
IBATEGUARA,Alagoas
IGACI,Alagoas
IGREJA NOVA,Alagoas
INHAPI,Alagoas
JACARÉ DOS HOMENS,Alagoas
JACUÍPE,Alagoas
JAPARATINGA,Alagoas
JARAMATAIA,Alagoas
JEQUIÁ DA PRAIA,Alagoas
JOAQUIM GOMES,Alagoas
JUNDIÁ,Alagoas
JUNQUEIRO,Alagoas
LAGOA DA CANOA,Alagoas
LIMOEIRO DE ANADIA,Alagoas
MACEIÓ,Alagoas
MAJOR ISIDORO,Alagoas
MARAGOGI,Alagoas
MARAVILHA,Alagoas
MARECHAL DEODORO,Alagoas
MARIBONDO,Alagoas
MAR VERMELHO,Alagoas
MATA GRANDE,Alagoas
MATRIZ DE CAMARAGIBE,Alagoas
MESSIAS,Alagoas
MINADOR DO NEGRÃO,Alagoas
MONTEIRÓPOLIS,Alagoas
MURICI,Alagoas
NOVO LINO,Alagoas
OLHO D'ÁGUA DAS FLORES,Alagoas
OLHO D'ÁGUA DO CASADO,Alagoas
OLHO D'ÁGUA GRANDE,Alagoas
OLIVENÇA,Alagoas
OURO BRANCO,Alagoas
PALESTINA,Alagoas
PALMEIRA DOS ÍNDIOS,Alagoas
PÃO DE AÇÚCAR,Alagoas
PARICONHA,Alagoas
PARIPUEIRA,Alagoas
PASSO DE CAMARAGIBE,Alagoas
PAULO JACINTO,Alagoas
PENEDO,Alagoas
PIAÇABUÇU,Alagoas
PILAR,Alagoas
PINDOBA,Alagoas
PIRANHAS,Alagoas
POÇO DAS TRINCHEIRAS,Alagoas
PORTO CALVO,Alagoas
PORTO DE PEDRAS,Alagoas
PORTO REAL DO COLÉGIO,Alagoas
QUEBRANGULO,Alagoas
RIO LARGO,Alagoas
ROTEIRO,Alagoas
SANTA LUZIA DO NORTE,Alagoas
SANTANA DO IPANEMA,Alagoas
SANTANA DO MUNDAÚ,Alagoas
SÃO BRÁS,Alagoas
SÃO JOSÉ DA LAJE,Alagoas
SÃO JOSÉ DA TAPERA,Alagoas
SÃO LUÍS DO QUITUNDE,Alagoas
SÃO MIGUEL DOS CAMPOS,Alagoas
SÃO MIGUEL DOS MILAGRES,Alagoas
SÃO SEBASTIÃO,Alagoas
SATUBA,Alagoas
